                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.02646,                      1,                      1,                0.75115,             0.00031109,             0.00031109,             0.00031109
                     60,                0.01817,                      1,                      1,                0.75089,             0.00030402,             0.00030402,             0.00030402
                     61,                0.02026,                      1,                      1,                0.75089,             0.00029695,             0.00029695,             0.00029695
                     62,                0.02432,                      1,                      1,                 0.7505,             0.00028988,             0.00028988,             0.00028988
                     63,                0.03568,                      1,                      1,                 0.7505,             0.00028282,             0.00028282,             0.00028282
                     64,                0.04319,                      1,                      1,                0.74994,             0.00027575,             0.00027575,             0.00027575
                     65,                 0.0148,                      1,                      1,                0.74994,             0.00026868,             0.00026868,             0.00026868
                     66,                0.01006,                      1,                      1,                0.74946,             0.00026161,             0.00026161,             0.00026161
                     67,                0.01868,                      1,                      1,                0.74946,             0.00025454,             0.00025454,             0.00025454
                     68,                0.02139,                      1,                      1,                0.74913,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01871,                      1,                      1,                0.74913,              0.0002404,              0.0002404,              0.0002404
                     70,                0.01111,                      1,                      1,                0.74888,             0.00023334,             0.00023334,             0.00023334
                     71,                0.06727,                      1,                      1,                0.74888,             0.00022627,             0.00022627,             0.00022627
                     72,                0.02349,                      1,                      1,                0.74829,              0.0002192,              0.0002192,              0.0002192
                     73,                0.02874,                      1,                      1,                0.74829,             0.00021213,             0.00021213,             0.00021213
                     74,                0.04181,                      1,                      1,                0.74827,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01957,                      1,                      1,                0.74827,             0.00019799,             0.00019799,             0.00019799
                     76,                0.04587,                      1,                      1,                0.74848,             0.00019092,             0.00019092,             0.00019092
                     77,                 0.0176,                      1,                      1,                0.74848,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.0298,                      1,                      1,                0.74817,             0.00017679,             0.00017679,             0.00017679
                     79,                0.02742,                      1,                      1,                0.74817,             0.00016972,             0.00016972,             0.00016972
                     80,                0.02042,                      1,                      1,                0.74761,             0.00016265,             0.00016265,             0.00016265
                     81,                0.01369,                      1,                      1,                0.74761,             0.00015558,             0.00015558,             0.00015558
                     82,                0.02119,                      1,                      1,                0.74782,             0.00014851,             0.00014851,             0.00014851
                     83,                0.01318,                      1,                      1,                0.74782,             0.00014144,             0.00014144,             0.00014144
                     84,                0.01697,                      1,                      1,                0.74745,             0.00013437,             0.00013437,             0.00013437
                     85,                0.02368,                      1,                      1,                0.74745,             0.00012731,             0.00012731,             0.00012731
                     86,                0.01575,                      1,                      1,                0.74707,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00591,                      1,                      1,                0.74707,             0.00011317,             0.00011317,             0.00011317
                     88,                0.05297,                      1,                      1,                0.74735,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00842,                      1,                      1,                0.74735,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01042,                      1,                      1,                0.74715,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00451,                      1,                      1,                0.74715,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.02195,                      1,                      1,                0.74707,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.01062,                      1,                      1,                0.74707,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.01742,                      1,                      1,                0.74737,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.03074,                      1,                      1,                0.74737,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.01245,                      1,                      1,                0.74737,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00814,                      1,                      1,                0.74737,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.04553,                      1,                      1,                0.74726,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.0056,                      1,                      1,                0.74726,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.04913,                      1,                      1,                0.74701,             2.1277e-05,             2.1277e-05,             2.1277e-05
